Crop,Crop_Year,Season,State/UT,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Urad,1997,Winter,West Bengal,16694.0,10553.0,1852.9,1588767.98,5175.14,0.628333333
Wheat,1997,Winter,West Bengal,202534.5,339962.5,1852.9,26583568.25,52935.74,1.886666667
Arecanut,1998,Monsoon,Puducherry,66.0,23.0,1434.5875,6520.8,19.14,0.35
Bajra,1998,Monsoon,Puducherry,149.0,324.0,1434.5875,14721.2,43.21,2.17
Black Pepper,1998,Monsoon,Puducherry,12.0,7.0,1434.5875,1185.6,3.48,0.58
Coriander,1998,Monsoon,Puducherry,2.0,1.0,1434.5875,197.6,0.58,0.5
Cotton (Lint),1998,Summer,Puducherry,453.0,372.0,1434.5875,44756.4,131.37,0.84
Dry Chillies,1998,Monsoon,Puducherry,8.0,23.0,1434.5875,790.4,2.32,2.75
Groundnut,1998,Winter,Puducherry,1046.0,2062.0,1434.5875,103344.8,303.34,1.54
Onion,1998,Monsoon,Puducherry,26.0,429.0,1434.5875,2568.8,7.54,5.42072281
Ragi,1998,Monsoon,Puducherry,112.0,366.0,1434.5875,11065.6,32.48,3.27
Rice,1998,Monsoon,Puducherry,4945.0,11518.0,1434.5875,488566.0,1434.05,2.46
Rice,1998,Winter,Puducherry,13961.0,30220.0,1434.5875,1379346.8,4048.69,2.555
Rice,1998,Summer,Puducherry,5716.0,14863.0,1434.5875,564740.8,1657.64,2.55
Sesamum,1998,Monsoon,Puducherry,147.0,120.0,1434.5875,14523.6,42.63,0.806666667
Small Millets,1998,Monsoon,Puducherry,4.0,3.0,1434.5875,395.2,1.16,0.75
Sugarcane,1998,Monsoon,Puducherry,2710.0,232369.0,1434.5875,267748.0,785.9,5.42072281
Tapioca,1998,Monsoon,Puducherry,649.0,19110.0,1434.5875,64121.2,188.21,5.42072281
Arecanut,1998,Whole Year,Assam,74457.0,55355.0,2354.4,7356351.6,21592.53,0.784347826
Arhar/Tur,1998,Monsoon,Assam,7657.0,5389.0,2354.4,756511.6,2220.53,0.709130435
Banana,1998,Whole Year,Assam,41885.0,339962.5,2354.4,4138238.0,12146.65,5.42072281
Castor Seed,1998,Monsoon,Assam,1728.0,708.0,2354.4,170726.4,501.12,0.411428571
Coconut,1998,Whole Year,Assam,20166.0,339962.5,2354.4,1992400.8,5848.14,5.42072281
Cotton (Lint),1998,Monsoon,Assam,1652.0,751.0,2354.4,163217.6,479.08,0.399130435
Dry Chillies,1998,Whole Year,Assam,14724.0,9690.0,2354.4,1454731.2,4269.96,0.636956522
Gram,1998,Winter,Assam,3002.0,1503.0,2354.4,296597.6,870.58,0.460454545
Jute,1998,Monsoon,Assam,78702.0,339962.5,2354.4,7775757.6,22823.58,5.42072281
Linseed,1998,Winter,Assam,10222.0,5212.0,2354.4,1009933.6,2964.38,0.480909091
Maize,1998,Monsoon,Assam,19810.0,13965.0,2354.4,1957228.0,5744.9,0.608695652
Mesta,1998,Monsoon,Assam,5260.0,25623.0,2354.4,519688.0,1525.4,4.9105
Niger Seed,1998,Monsoon,Assam,8753.0,4478.0,2354.4,864796.4,2538.37,0.520555556
Onion,1998,Whole Year,Assam,8083.0,18341.0,2354.4,798600.4,2344.07,2.340434783
Potato,1998,Whole Year,Assam,76958.0,339962.5,2354.4,7603450.4,22317.82,5.42072281
Rapeseed & Mustard,1998,Winter,Assam,202534.5,135631.0,2354.4,26583568.25,52935.74,0.473478261
Rice,1998,Autumn,Assam,202534.5,339962.5,2354.4,26583568.25,52935.74,1.055652174
Rice,1998,Summer,Assam,202534.5,339962.5,2354.4,22122604.4,52935.74,1.685217391
Rice,1998,Winter,Assam,202534.5,339962.5,2354.4,26583568.25,52935.74,1.395652174
Sesamum,1998,Monsoon,Assam,15940.0,8210.0,2354.4,1574872.0,4622.6,0.485217391
Small Millets,1998,Monsoon,Assam,10547.0,5450.0,2354.4,1042043.6,3058.63,0.521363636
Sugarcane,1998,Whole Year,Assam,30571.0,339962.5,2354.4,3020414.8,8865.59,5.42072281
Sweet Potato,1998,Whole Year,Assam,9433.0,32437.0,2354.4,931980.4,2735.57,3.435652174
Tapioca,1998,Whole Year,Assam,2798.0,13261.0,2354.4,276442.4,811.42,4.445217391
Tobacco,1998,Whole Year,Assam,1465.0,732.0,2354.4,144742.0,424.85,0.569545455
Turmeric,1998,Whole Year,Assam,10729.0,7416.0,2354.4,1060025.2,3111.41,0.666956522
Wheat,1998,Winter,Assam,89591.0,90509.0,2354.4,8851590.8,25981.39,0.999545455
Arecanut,1998,Whole Year,Goa,1500.0,1820.0,2681.1,148200.0,435.0,1.21
Banana,1998,Whole Year,Goa,1900.0,14400.0,2681.1,187720.0,551.0,5.42072281
Black Pepper,1998,Whole Year,Goa,250.0,70.0,2681.1,24700.0,72.5,0.28
Cashewnut,1998,Whole Year,Goa,52875.0,15000.0,2681.1,5224050.0,15333.75,0.28
Coconut,1998,Whole Year,Goa,24858.0,339962.5,2681.1,2455970.4,7208.82,5.42072281
Groundnut,1998,Monsoon,Goa,350.0,412.0,2681.1,34580.0,101.5,1.18
Groundnut,1998,Winter,Goa,1048.0,2124.0,2681.1,103542.4,303.92,2.03
Ragi,1998,Monsoon,Goa,2500.0,2476.0,2681.1,247000.0,725.0,0.99
Rice,1998,Monsoon,Goa,41000.0,104249.0,2681.1,4050800.0,11890.0,2.54
Rice,1998,Winter,Goa,15439.0,46925.0,2681.1,1525373.2,4477.31,3.04
Sugarcane,1998,Whole Year,Goa,1320.0,64000.0,2681.1,130416.0,382.8,5.42072281
Arecanut,1998,Whole Year,Karnataka,98047.0,339962.5,1260.8,9687043.6,28433.63,5.42072281
